"ano_diagnostico";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"2007";636;487;665;591;593;543;687;586;520;551;482;502;6843
"2008";618;555;663;578;572;636;649;676;603;596;537;551;7234
"2009";596;557;708;602;632;552;583;636;585;557;577;550;7135
"2010";559;519;701;533;557;560;657;601;609;559;586;599;7040
"2011";601;598;586;642;698;513;619;661;559;590;586;619;7272
"2012";694;645;732;605;682;624;713;776;610;739;610;635;8065
"2013";695;556;700;671;653;671;669;701;628;673;625;594;7836
"2014";674;627;583;610;645;614;734;642;674;726;594;646;7769
"2015";680;571;798;629;674;674;691;696;697;695;692;659;8156
"2016";739;668;788;718;766;839;643;780;768;682;730;736;8857
"2017";811;687;844;624;800;747;720;775;726;762;657;684;8837
"2018";813;622;878;822;751;724;836;916;688;817;636;627;9130
"2019";852;778;776;724;845;783;857;754;792;795;749;679;9384
"2020";860;640;819;560;517;699;784;743;728;779;683;673;8485
"2021";694;663;790;689;696;749;807;800;875;831;837;983;9414
"2022";831;769;969;749;834;763;859;798;733;826;772;819;9722
"2023";932;725;922;804;849;824;851;933;791;833;818;794;10076
